paper id;First Name;Last Name;Institution;Affiliation;Track;Podium?;title;Follow Up
349;Christopher;Pannier;Texas A&M University;TAMU;20;0;Point Reactor Kinetics Model of a Reactivity Oscillator in the Texas A&M AGN-201M Research Reactor;
350;Matthew J.;Riblett;Rensselaer Polytechnic Institute;RPI;12;0;Use of Hardware Accelerators for Monte Carlo-based Radiation Transport: Preliminary Strategies for Tackling Neutron Radiation;
351;Thomas;Eiden;University of Wisconsin - Madison;WISC;17;1;Get Out of the Way, NRC!;Title
352;Pablo;Vaquer;University of Florida ;UF;1;0;A Low Temperature Gas Reactor with VASIMR Thrusters for Near-Term Interplanetary Travel;
353;Philip;Belsterling;Oregon State University;ORST;11;0;Reactor Clad Types and Failure Mechanisms;
354;Jedediah;Styron;University of New Mexico;UNM;16;0;Review of the Thorium Fuel Cycle and Its Higher Burn-up Capabilities in Future PWR Designs;
355;Lindsay;O'Brien;Massachusetts Institute of Technology;MIT;11;0;The Effect of Environment Chemistry and Microstructure on the Corrosion Fatigue Behavior of Austenitic Stainless Steels;
356;Jennifer;Jarvis;Massachusetts Institute of Technology;MIT;11;1;PWR Water Chemistry Modeling for Hydrogen Pickup in Zircaloy Cladding;
357;Min;Yoo;Korea Advanced Institute of Science and Technology;KAIST;15;1;Harness Design for the Improvement of Transmitter Survivability in a Severe Accident;
359;David;Saucier;University of New Mexico;UNM;22;0;Small Modular Reactor Design: Designing a Molten Salt Reactor with a Thorium Fuel Cycle;Check other paper
360;Balazs;Bene;University of Nevada - Las Vegas;UNLV;23;1;Preparative Scale Separation of Neighboring Lanthanides for Neutron Capture Cross-Section Measurement;
